title,abstract
日本の生成 AI 現在地と未来 〜 今知っておくべきこととは 〜  [SJP1023],2022年に生成 AI が爆発的発展をスタートし、2023年は日本でも政府による AI 施策や企業における生成 AI アプリの概念実証が進みました。今後は社会や企業の本番環境での実装が加速され、AI がビジネス戦略の中核となる未来が期待されています。当講演では、日本におけるAI の現状や課題を整理しながら、AI や 生成 AI が産業にもたらす可能性や新たな未来についてご説明します。
"生成 AI から Omniverse まで、用途に合った GPU と GPU サーバーの適切な選択方法とは, presented by スーパーマイクロ株式会社 [SJP1065]",先端AIサーバーでは国内外で業界をリードしている SUPERMICRO の最新GPUプラットフォームを例に、H200/H200NVL、GH200/GB200、HGX、MGX、OVX、RTX どの用途にどのGPUとGPUサーバーが最適な選択となるのか、活用方法を、生成AI、HPC、デジタルツインの視点で学びます。AI/HPCでは、H200、Blackwell B200を搭載するHGX最新機種、GraceHopper GH200、GraceBlackwell GB200 SuperClusterの最新情報と、昨今話題の中心になっている水冷化についても考えます。Omniverse&デジタルツインでは、MGX、OVX、vGPU、広帯域ネットワークを含め、3次元グラフィックス＋AIコラボレーションの環境構築に不可欠な、GPUプラットフォームについて掘り下げます。
NVIDIA NIM ですぐに実現する本番環境での高速な LLM 推論 [SJP1051],"最適化された生成 AI モデルのデプロイを簡単に行えるようにする NVIDIA NIM の機能と、LLM の推論を最適化するために使われている技術について解説します。生成 AI の推論は、計算負荷の高い処理であり、最適化の有無がコストやユーザー体験に大きな影響を及ぼします。本セッションでは LLM 推論に特化した NIM for Large Language Models と、バックエンドの推論エンジンとして用いられている TensorRT-LLM の機能にフォーカスし、LLM 推論の技術的なチャレンジと、それに対する様々な最適化技術（ FP8 を含む Low-precision, カスタムAttention Kernel, KV Cache 管理など）を紹介します。"
NVIDIA ソフトウエアスタックで実現する次世代デジタルストアの研究 [SJP1031],"セブン＆アイ・ホールディングスは、NVIDIA Metropolis と NVIDIA Omniverse をいち早く活用し、NVIDIA の専門家とコラボレーションをしてきました。
このコラボレーションにより、セブン＆アイ・ホールディングスは、Omniverse上で複数のバーチャルヒューマンの動作シミュレーションし、Metropolis によるマルチカメラトラッキングと Pose 推定によるリアルタイム顧客行動分析、さらには Merlin の Transformer4Rec を用いた最適な商品レコメンドを提供する、デジタルストアソリューションの構築ができるようになりました。
本講演では、NVIDIA ソフトウエアスタックを活用したデジタルストア構築方法、リアルタイム顧客行動分析、最適な商品レコメンデーションの実現に向けた具体的なアプローチを提供します。そしてこのデジタルストアソリューションが小売業におけるオペレーションや顧客体験をどのように変革するかについての展望をお話いたします。
また、事前知識として、小売業界の基礎知識やデジタル技術と AI の基礎知識があると、本講演の理解が深まります。"
"すべてのデータに AI を：AI 基盤の最適化と今後の展望, presented by デル・テクノロジーズ株式会社 [SJP1067]",この講演では、これまでの実績から学んだAI基盤の最適化ポイントを探ります。データ処理の効率化、処理性能向上のためのベストプラクティス、さらに未来の技術動向とその実装に焦点を当てながら、AIの全データ活用にむけた展望を示します。
エヌビディア製品搭載の群制御ロボットが実現する全く新しい自動倉庫 [SJP1040],"本セッションでは、エヌビディアの技術を活用したロボットが実現する柔軟性と生産性の限界を押し広げる最新の自動倉庫（ASRS）の詳細を解説します。

まず弊社がOmniverseによって倉庫の未来像を可視化する方法を紹介します。これには、AMRと呼ばれる自律走行ロボット、自動フォークリフト（AFL）、そしてASRSといった弊社ソリューションの全体像をご紹介します。

その後、最新製品である自在型自動倉庫「ラピュタASRS」の詳細を解説します。レールやシャトルによって限られた動作で稼働する従来のASRSと比較して、弊社ASRSとの違いをご説明します。本製品の開発には、非常に高度な知能を持つロボットが多くの判断を下し、狭いスペースで動作することが求められました。
また、ロボット外縁の4面に搭載されたカメラからの画像を使用して、人間などの予測不能なエラーに対してシステム側でどのように対応し、通信が一時的に途絶えてしまうような状況でも安定稼働するシステムをどう構築したのかという点も解説いたします。"
ソニーのテクノロジーで実現する没入型空間コンテンツ制作システム [SJP1088],「クリエイティビティとテクノロジーの力で、世界を感動で満たす。」を目標に、ソニーでは最先端のテクノロジーによって、メタバースの世界の実現に取り組んでいます。本セッションでは、2024年１月に発表し、いよいよ発売開始が迫ってきた、新型XR HMDを用いた没入型空間コンテンツ制作システムの概要、テクノロジー、産業分野での活用方法について、シーメンス社のNX製品との取組みや先行事例、および、NVIDIA Omniverse 連携の可能性を踏まえてご紹介します。
ソブリン AI 、その役割と創造する新たな可能性 [SJP1024],AI によってあらゆる社会が大きく変革する中、自国の競争力を強化し将来を守るために、自国のAIインフラ、データ、労働力、ビジネスネットワークを用いて AIを開発し活用する能力、つまり「ソブリンAI」への投資が多くの国々で加速しています。当パネルセッションでは、日本におけるソブリン AI 実現において中核的な役割を担う経済産業省、AIモデル開発事業者、AIインフラ提供者、そしてその発展を支える研究者と共に、ソブリンAIの重要性や日本や他国の取組み状況、社会実装に向けた課題や取るべき施策について議論します。
ソブリン AI の日本戦略と ABCI3.0 [SJP1063],"生成AIが地球規模の変革をもたらす「触媒」となる中、日本国内における生成AIの研究開発能力を迅速に育成していくことが極めて重要となっています。これに対し、NEDOポスト5G事業の一環として実施中の生成AI開発加速プロジェクト「GENIAC」や、「クラウドプログラム」による計算資源整備など、経済産業省主導で様々な取り組みが進められています。
産総研グループが2018年より提供してきたAI計算基盤「ABCI」もまた、生成AIモデルをはじめとした最先端AI技術の研究開発能力の強化を目的として、来年初頭に「ABCI 3.0」に生まれ変わります。ABCI 3.0は、一兆パラメータ超級の大規模言語モデルやマルチモーダルAI等、世界に伍する最先端AI技術開発を可能にします。
本セッションでは、経済産業省の取り組みについて概観するとともに、ABCI 3.0の概要や運営方針についてご紹介します。"
"（同時通訳付）Generative AI Built by You, for You  [SJP1096]","企業、組織、および主権国家は、生成 AI アプリケーションを構築し、適応させていますが、それぞれに固有の知識、言語、およびスキルの要件があります。NVIDIA NIM Agent Blueprintは、標準的な 生成 AI ユースケースのためのリファレンス ワークフローであり、企業データを使ってカスタマイズされ、ユーザーからのフィードバックに基づいて継続的に改良されることで、データ駆動型の AI フライホイールを構築します。本セッションでは、最新のNIM Agent Blueprintsと、それを活用して 生成 AIを構築する方法についてご紹介します。また、NVIDIA NeMo,  NIM 推論 マイクロサービス、NVIDIA AI Foundryを含むブループリントの主要要素についてもご説明します。


Enterprises, organizations, and sovereign nations are building and adapting applications to be powered by generative AI, but they have unique knowledge, language, and skill requirements. NVIDIA NIM Agent Blueprints are reference AI workflows for canonical generative AI uses cases that can be customized with enterprise data and continually refined based on user feedback, creating a data-driven AI flywheel. In this session, hear about the newest NIM Agent Blueprints and how to leverage them to build your generative AI. We will also review key elements of the Blueprints including NIM inference microservices NVIDIA NeMo and the NVIDIA AI Foundry."
（同時通訳付） Scaling Data Processing for Next Generation LLM Applications [SJP1095],大規模言語モデル (LLM) の進歩により、コード生成、言語変換、テキスト要約など、さまざまなアプリケーションを開発することが可能になりました。これらのモデルの効果は、LLM モデルのトレーニングに使用されるデータの品質に依存します。今日のデータは、PDF ファイル、表、文書など、さまざまな形式で存在します。このデータは、LLM モデルのトレーニングおよび (または) 微調整のための下流タスクに対して処理およびフィルタリングする必要があります。このセッションでは、これらの LLM アプリケーションをサポートするために、大規模なデータセットを処理する際の主要な課題と解決策を探ります。
"4 つの ”S” で進化させるエクイニクスのプライベート AI インフラ, presented by エクイニクス [SJP1089]",急速に進歩するAIテクノロジーにおいて、企業はセキュリティ（Security）、スピード（Speed）、スケーラビリティ（Scalability）、そして持続可能性（Sustainability）のバランスを取る必要があります。エクイニクスの「プライベートAI」アプローチは、NVIDIAや大手ハイパースケーラーとの独占的パートナーシップにより、グローバルな事業展開と最先端のインフラストラクチャを組み合わせ、AI活用におけるお客様の課題を解決します。本セッションでは、液体冷却技術、セキュアなデータセンター、マルチクラウド接続などの高度なソリューションを活用して、エクイニクスが提供している高性能なAI対応のインフラストラクチャをご紹介します。また、エクイニクスが、AI導入において、迅速化、サステナビリティ、データプライバシーの管理を実現し、AI主導の世界における競争優位性を確保している方法についてもご説明します。イノベーションと4つの”S”が融合するAIインフラの未来をご体験ください。
「AI for Science」で実現する 科学技術イノベ―ション  [SJP1056],"AIは特定分野にとどまらず、さまざまな分野で活用されるようになっています。科学技術もその例外ではありません。「AI for Science」は、科学の広範なデータに対し、生成AIなどのAI技術を適用することでブレイクスルーをもたらそうとするアプローチです。
理研は、多様な科学研究データを活用した基盤モデルの追加学習などをすることで、ライフサイエンス、物質・材料などのさまざまな科学分野を対象としたアプリケーションの研究開発に取り組むとともに、そのためのデータ生成、関連する実験やシミュレーションの自動化・高速化技術開発、基盤モデルの性能評価、システムソフトウェア開発、データ管理技術やコンピューティングシステム運用技術の開発などの基盤技術の研究開発を進めています。
本セッションでは、理研のAI For Scienceプロジェクトについて紹介し、AIがいかに科学技術にブレイクスルーを起こそうとしているかをご紹介します。"
AI クリエイティブのためのデジタルヒューマン開発  [SJP1041],生成 AI を活用した広告制作のためのデジタルヒューマン技術の研究開発についてお話します。 サイバーエージェントでは2017年頃より CG 技術を基盤としたデジタルヒューマンの研究開発を進めてきましたが、近年は AI 技術の進展により開発手法も大きく変化してきています。AI を活用したデジタルヒューマンの制作や研究開発、NVIDIA 社と協業した技術開発などをご紹介します。
NVIDIA AI Workbench ディープダイブ [SJP1104],"NVIDIA AI WorkbenchはAI開発者向けに設計された統合ワークスペースツールキットです。
開発環境を簡単にインストールでき、ローカル環境から開発を始め、必要に応じてデータセンターやクラウドに簡単に拡張できるという特徴があります。
本セッションは、そのディープダイブとしてNVIDIA AI Workbenchの詳細やGithubで公開しているExapmleProjectの中からHybrid RAG等、いくつかのものをデモでご紹介します。
"
"デロイト トーマツが実装する AI エージェントを核とした、業界を変革する NVIDIA ソリューション Quartz AI™, presented by デロイト トーマツ コンサルティング合同会社 [SJP1080]","デロイト トーマツは、NVIDIAの最先端AI技術を基盤に構築したAIエージェントテクノロジーで、業界の枠を超えた変革を実現しています。これらのAIエージェントは、業務の効率化、顧客体験の向上、新たなビジネスモデルの創出を可能にし、医療、金融、製造、小売といった多様な分野で革新を推進しています。また、デジタルツイン化の技術で製造業などの変革をリードします。
AI技術が進化する中で、その可能性は無限に広がり、デロイト トーマツはNVIDIAとの連携を一層強化し、独自のQuartz AI™を通じて革新的なソリューションを提供します。本セッションでは事例も交えて、皆様のビジネスに新たな未来を切り開く知見をお届けします。
"
"（同時通訳付）Generative AI and Robotics Are Accelerating Healthcare 4.0, From AI Assistants to Autonomous Agents [SJP1050]","医療業界はこれまでにない成長を遂げています。生成AIとロボティクスがエコシステムを支え、これまでにない臨床効果をもたらすアプリケーションの構築を可能にしています。創薬やデジタルバイオロジーから、ロボット手術や個別化された患者ケアに至るまで、医療は技術の力強い推進力となり、イノベーションを促進し、あらゆる分野から投資を集めています。NVIDIAのヘルスケアおよびライフサイエンス部門の副社長であるキンバリー・パウエルが、NVIDIAが取り組むこの変革の最前線をご紹介します。

The healthcare industry is experiencing unprecedented growth, propelled by generative AI and robotics that enable the ecosystem to build applications that drive unprecedented levels of clinical impact. From drug discovery and digital biology to robotic surgery and personalized patient care, healthcare is emerging as a technological powerhouse, accelerating innovation and attracting investment from across the landscape. Join Kimberly Powell, NVIDIA’s Vice President of Healthcare and Life Sciences, as she explores how NVIDIA is at the forefront of this transformation. "
（同時通訳付）Robotics and Physical AI in the Era of Generative AI [SJP1093],"本セッションでは、NVIDIAの「3コンピューターフレームワーク」— NVIDIA AI、Omniverse、Isaac — が、生成AI対応ロボットの世界的な開発をどのように加速しているかについてご紹介いたします。NVIDIA、およびパートナーエコシステムからの最新の画期的なイノベーションをいくつかご紹介し、AIがいかに産業デジタル化の主要な取り組みを前進させているかをお見せします。


 
The age of physical and embodied AI has arrived. Join this session to learn how NVIDIA’s “3 computer framework” – NVIDIA AI, Omniverse, and Isaac – is accelerating global development of generative AI-enabled robots. We’ll show some of the latest groundbreaking innovations from NVIDIA and our partner ecosystem and show how this next wave of AI is advancing major initiatives across industrial digitalization."
大規模モデルの学習知見 [SJP1035],GENIAC プロジェクトにおける 172B 規模の LLM の学習をはじめとする大規模モデルの学習には、分散学習に関する知識と、大規模な計算機環境を使いこなす知見が必要です。本セッションでは、Megatron-LM を用いた大規模モデルの実例と知見について紹介します。
映像認識 × LLM：見えるものから見えないものへ、そして生成技術まで [SJP1075],"本講演では、人物行動分析における画期的な進歩について紹介する。可視光カメラに加え、マイクロ波センサーなどの「見えない」技術の活用によりNECが開発したフレームワークにおいて、NVIDIA GPUの力を如何に発揮して人物の行動を分析するかを解説する。具体的には、定点カメラや360度カメラ、マイクロ波センサーなど、多角的な視点から人物の行動を捉えて理解するための統合システムについて深く掘り下げる。さらに、大規模言語モデル（LLM）と視覚言語モデル（VLM）を活用した動画要約や説明文章・報告書の自動生成技術に関する仕組みについても紹介する。特に、ドライブレコーダー映像から交通事故調査報告書を自動生成する事例を詳しく紹介する。本講演を通して、以下の3点を学ぶ。(1)定点カメラや360度カメラ、マイクロ波センサーなど、様々なセンシング技術がどのように現実世界のデータをデジタル化するか。(2)行動認識、物体追跡、人と物のインタラクション、シーン認識、行動パターン分析など、高度なアルゴリズムの応用。(3)人物行動を深く考察・理解するためのデータ抽出、可視化、要約の方法。これらの学びに加え、インタラクティブな技術デモを通じて、人物行動分析フレームワークの能力を実感し、効果的な処理技術とアルゴリズムについて理解を深めることができる。講演の最後に、人物行動理解と生成AIに関する課題と今後の方向性をまとめて概説する。

ぜひ本講演に参加して、最新の情報を手に入れ、新しい技術を探求し、見えるものから見えないものへ、そして生成技術までに人物行動分析がもたらす変革と影響について理解を深めましょう。"
NVIDIA 高速化ライブラリを用いた大規模言語モデルの最適化とデプロイメント [SJP1054],"本セッションではTensorRT-LLMをはじめとしたNVIDIAの高速化ライブラリとそれを用いた大規模言語モデルのインテグレーションについて紹介します。
大規模言語モデル(LLM)を用いたサービスを構築には、回答の精度、生成速度、システムの堅牢性といった様々な課題があります。特に、近年の大規模言語モデル開発の拡大はPytorchをはじめとする様々なOSSに支えられている一方で、プロダクト化の観点においてどのようなソフトウェア、フレームワークを採用するかは重要な技術的判断を伴います。
NTTコミュニケーションズではこうした採用技術に関する課題に対して、サステナビリティの観点からNVIDIA社自身が提供するOSSを利用した技術開発に取り組んでいます。
本セッションではNTTグループの開発する独自LLM tsuzumi をケーススタディとし、NVIDIA社の提供する高速化ライブラリTensorRT-LLMを用いた生成速度の高速化や、NVIDIA社標準の推論フレームワークであるNIMへの適用のポイントについて解説します。"
AIが加速する医療イノベーションの軌跡と社会イノベーションの未来 [SJP1066],"富士フイルムでは、2018年に医療分野におけるAI技術ブランド「REiLI」を立上げ、多数の診断支援アプリケーションを上市している。本講演では、当社が未来の医療イノベーション戦略として、IT・AI技術を活用した高付加価値の製品によって医療従事者の体験を変え、「モノ」から「モノ＋コト」による価値提供へ転換することで、当社独自の「唯一無二の医療バリューチェーン」形成を目指す取り組みをご紹介する。さらに、医療分野で培った技術や価値提供スキームなどの戦略をグループ全社に展開し、SVP2030の実現に向けた取り組みにも触れる。
主なポイント：
・AI技術による診断プロセスを支援し、診断ワークフローを向上させるための富士フイルムならではの強みを理解する。
・NVIDIA DGX、クラウドGPUなどのインフラやCUDAなどのソフトウェアを活用して開発してきたAI技術が、医療機器・医療ITソリューションと連携して、どのように臨床ワークフローを加速するかについての洞察を得る。
・新興国向けの健診センターNURAでの生成AIによる健診サービスの高度化への取り組みについて理解する。
・AI技術を活用して、「モノ」から「モノ＋コト」による提供価値の循環・拡大するモデルを、生成AI技術の取込みでさらに拡張し、グループ内の主力事業へ展開する戦略について学ぶ。"
これからの工場プラニングとAMRシミュレーション [SJP1053],Musashi AIは産業顧客向けに NVIDIA Omniverse 上でデジタルファクトリーを構築するサービスを提供しています。正確でフォトリアリスティックなデジタルツインを使用することで、ユーザーは工場のレイアウトのプラニングや AMR (自律移動ロボット) のルーティングを従来よりも効率的に行うことができます。Omniverse Platform を使用することで、顧客はデジタルツイン上で 工場の企画・設計段階、また完成直後にAMR 、AOI (自動光学検査)、ロボットアーム などを事前シミュレーションすることができ、迅速かつ正確な工場立ち上げを実現します。
データサイエンスの高速化: GPU で加速する Polars と競技における特徴エンジニアリング [SJP1092],"データセットが複雑化し、量が増える中で、より速く効率的なデータ処理がこれまで以上に求められています。Pandas、Polars、NetworkXは、表形式データやグラフデータの処理に使われるPythonライブラリとして人気があり、使いやすく柔軟です。しかし、大規模なデータを扱うときには従来のコンピュータでは限界があります。

この講演では、Pandas、Polars、NetworkXといった加速化されたデータサイエンスライブラリを使い、コードを変更せずに作業効率を10倍から最大600倍まで高速化できる方法を紹介します。さらに、GPUで加速されたPolarsが特に競技データサイエンスにおいて、どのようにデータ処理の効率を大幅に改善できるかを詳しく説明します。実際の競技での特徴エンジニアリングの例を通じて、Polarsのパフォーマンス最適化がどのように成果を引き出すかをお見せします。"
バーチャルヒューマンと Omniverse の統合による技術革新と産業アップデート [SJP1036],Aww 株式会社が提供する世界最高峰のバーチャルヒューマン技術と NVIDIA Omniverse を組み合わせた最新技術のデモンストレーション。また、この最新技術がもたらす産業のアップデートやバーチャルヒューマンの展望について講演します。
（同時通訳付）Building a Strategic Foundation for Generative AI [SJP1034],"イノベーションの加速、業務効率の向上、新たな収益源の開拓など、2024 年の企業はジェネレーティブAIをビジネス戦略の要に据えようとしている。この変革的なシフトは、規模に応じたAIの開発と導入の運用化という課題をもたらします。本セッションでは、AI トレーニングの効率化、大規模なコンピュート・クラスタ管理、データ・サイエンス・チームと開発者チームへのシームレスなアクセスの提供、エンド・ユーザー規模でのモデルのデプロイを支援する最新のインフラストラクチャー・イノベーションを探ります。NVIDIA のチャーリー・ボイルがAIインフラストラクチャの最新動向を掘り下げ、日本の AI リーダーが実際に導入した事例について語ります。

Whether it's to accelerate innovation, enhance operational efficiency, or unlock new revenue streams, enterprises in 2024 are making generative AI a cornerstone of their business strategies. This transformative shift brings with it the challenge of operationalizing AI development and deployment at scale. In this session, we’ll explore the latest infrastructure innovations that help ensure efficiency of AI training, large-scale compute cluster management, providing seamless access to data science and developer teams, and deploying models at end-user scale. Join NVIDIA's Charlie Boyle as he delves into the latest trends on AI infrastructure and discusses real-world deployments from some of Japan’s AI leaders."
（同時通訳付）Building a World Class AI Lab in Japan [SJP1037],"AI の研究開発は世界的に非常に重要なテーマです。現在、研究開発の大部分はアメリカと中国で行われていますが、全体的な取り組みは国際的です。Sakana AI は日本における新進気鋭の世界クラスの AI ラボです。

AI に関する技術講演は多くありますが、それらは主に既存の AI 技術のビジネスや企業への応用に焦点を当てています。本セッションでは、日本およびアジア全体のために、日本で最先端の AI 研究開発を行う可能性について議論するフォーラムを持ちたいと考えています。議論されるトピックは AI の進化を形作り、今後数十年にわたって世界の技術開発を効果的に加速させるはずです。

この講演イベントの主な焦点は研究面にあり、将来の AI 製品に登場する最先端の AI 開発について話し合います。
"
